message_id,image_path,detected_object_class,confidence_score
170724,data/raw/telegram_images\2025-06-18\tikvahpharma\170724.jpg,person,0.8081045746803284
170724,data/raw/telegram_images\2025-06-18\tikvahpharma\170724.jpg,person,0.7948136329650879
170724,data/raw/telegram_images\2025-06-18\tikvahpharma\170724.jpg,person,0.7871020436286926
170724,data/raw/telegram_images\2025-06-18\tikvahpharma\170724.jpg,person,0.7809669375419617
170724,data/raw/telegram_images\2025-06-18\tikvahpharma\170724.jpg,person,0.7774486541748047
170724,data/raw/telegram_images\2025-06-18\tikvahpharma\170724.jpg,person,0.7565856575965881
170724,data/raw/telegram_images\2025-06-18\tikvahpharma\170724.jpg,person,0.7541157007217407
170724,data/raw/telegram_images\2025-06-18\tikvahpharma\170724.jpg,person,0.7462641000747681
170724,data/raw/telegram_images\2025-06-18\tikvahpharma\170724.jpg,person,0.7301431894302368
170724,data/raw/telegram_images\2025-06-18\tikvahpharma\170724.jpg,person,0.6936603784561157
170724,data/raw/telegram_images\2025-06-18\tikvahpharma\170724.jpg,person,0.6688035726547241
170724,data/raw/telegram_images\2025-06-18\tikvahpharma\170724.jpg,person,0.6465169191360474
170724,data/raw/telegram_images\2025-06-18\tikvahpharma\170724.jpg,person,0.5558987855911255
170724,data/raw/telegram_images\2025-06-18\tikvahpharma\170724.jpg,person,0.4917038381099701
170724,data/raw/telegram_images\2025-06-18\tikvahpharma\170724.jpg,person,0.44639450311660767
170724,data/raw/telegram_images\2025-06-18\tikvahpharma\170724.jpg,tv,0.27474257349967957
170736,data/raw/telegram_images\2025-06-18\tikvahpharma\170736.jpg,tv,0.8231649398803711
170736,data/raw/telegram_images\2025-06-18\tikvahpharma\170736.jpg,cell phone,0.257334440946579
170738,data/raw/telegram_images\2025-06-18\tikvahpharma\170738.jpg,cell phone,0.5574536919593811
170768,data/raw/telegram_images\2025-06-18\tikvahpharma\170768.jpg,person,0.5884544253349304
170768,data/raw/telegram_images\2025-06-18\tikvahpharma\170768.jpg,person,0.335090696811676
170768,data/raw/telegram_images\2025-06-18\tikvahpharma\170768.jpg,toothbrush,0.25989049673080444
18168,data/raw/telegram_images\2025-06-19\lobelia4cosmetics\18168.jpg,bottle,0.46266961097717285
18169,data/raw/telegram_images\2025-06-19\lobelia4cosmetics\18169.jpg,bottle,0.6699378490447998
18171,data/raw/telegram_images\2025-06-19\lobelia4cosmetics\18171.jpg,clock,0.3572637140750885
18173,data/raw/telegram_images\2025-06-19\lobelia4cosmetics\18173.jpg,book,0.28477442264556885
18173,data/raw/telegram_images\2025-06-19\lobelia4cosmetics\18173.jpg,bowl,0.26642441749572754
